,0,1,2,3
0,1,15,10,0.9986958230176389
1,1,15,100,0.9988934986415827
2,1,15,200,0.9986355560591196
3,1,50,10,0.998346274658226
4,1,50,100,0.9989356855125463
5,1,50,200,0.9989151947466498
6,2,15,10,0.9988194570960103
7,2,15,100,0.9989615594826016
8,2,15,200,0.9985838343353373
9,2,50,10,0.9984016517884252
10,2,50,100,0.9989202647719682
11,2,50,200,0.9988716827594584
12,3,15,10,0.9986164779603418
13,3,15,100,0.9985605289371997
14,3,15,200,0.9984084935482263
15,3,50,10,0.9982479441774703
16,3,50,100,0.9985690429189821
17,3,50,200,0.9985775569007647
